title,year,cast,genres
Billy Jack,1971,"['Tom Laughlin', 'Delores Taylor', 'Kenneth Tobey', 'Howard Hesseman']","['Action', 'Drama', 'Independent']"
Black Noon,1971,"['Roy Thinnes', 'Yvette Mimieux']","['Horror', 'Western']"
Bless the Beasts and Children,1971,"['Bill Mumy', 'Barry Robins', 'Miles Chapin']",['Drama']
Blood and Lace,1971,"['Gloria Grahame', 'Melody Patterson']",['Horror']
Blood Thirst,1971,"['Robert Winston', 'Yvonne Nielson', 'Judy Dennis']",['Horror']
Born to Win,1971,"['George Segal', 'Paula Prentiss', 'Karen Black']","['Comedy', 'Crime', 'Drama']"
Boys in the Sand,1971,"['Casey Donovan', 'Peter Fisk', 'Danny Di Cioccio']",['Erotic']
The Boy Friend,1971,"['Twiggy', 'Christopher Gable', 'Max Adrian']","['Comedy', 'Musical']"
Brian's Song,1971,"['James Caan', 'Billy Dee Williams', 'Shelley Fabares', 'Bernie Casey', 'Jack Warden', 'David Huddleston']","['Biography', 'Sports', 'Drama']"
The Bridge in the Jungle,1971,"['John Huston', 'Katy Jurado', 'Charles Robinson']",['Adventure']
Brother John,1971,"['Sidney Poitier', 'Will Geer', 'Bradford Dillman']",['Drama']
B.S. I Love You,1971,"['Peter Kastner', 'Joanna Cameron', 'Louise Sorel']","['Comedy', 'Drama']"
Bunny O'Hare,1971,"['Bette Davis', 'Ernest Borgnine', 'Jack Cassidy']","['Crime', 'Comedy']"
Cain's Cutthroats,1971,"['John Carradine', 'Scott Brady', 'Don Epperson']",['Western']
Carnal Knowledge,1971,"['Jack Nicholson', 'Ann-Margret', 'Art Garfunkel', 'Candice Bergen', 'Rita Moreno']",['Drama']
Chandler,1971,"['Warren Oates', 'Leslie Caron', 'Alex Dreier']","['Thriller', 'Noir']"
Catlow,1971,"['Yul Brynner', 'Richard Crenna', 'Leonard Nimoy']",['Western']
The Christian Licorice Store,1971,"['Beau Bridges', 'Maud Adams', 'Gilbert Roland']",['Drama']
Chrome and Hot Leather,1971,"['William Smith', 'Kathrine Baumann', 'Marvin Gaye']",['Action']
