title,year,cast,genres
Exit Strategy,2012,[],"['Comedy', 'Independent', 'Romance']"
Rampart,2012,"['Woody Harrelson', 'Ben Foster', 'Robin Wright', 'Sigourney Weaver', 'Steve Buscemi', 'Anne Heche', 'Cynthia Nixon', 'Ice Cube', 'Brie Larson', 'Ned Beatty']","['Crime', 'Drama']"
The Secret World of Arrietty,2012,"['Will Arnett', 'Amy Poehler', 'Carol Burnett', 'Bridgit Mendler', 'David Henrie', 'Moisés Arias']","['Animated', 'Fantasy']"
Ghost Rider: Spirit of Vengeance,2012,"['Nicolas Cage', 'Idris Elba', 'Fergus Riordan', 'Ciarán Hinds', 'Violante Placido', 'Johnny Whitworth']",['Superhero']
This Means War,2012,"['Tom Hardy', 'Chris Pine', 'Reese Witherspoon', 'Chelsea Handler', 'Til Schweiger', 'Abigail Spencer']","['Comedy', 'Spy', 'War', 'Romance']"
Act of Valor,2012,"['Active Duty Navy SEALs', 'Roselyn Sánchez', 'Alex Veadov', 'Jason Cottle', 'Nestor Serrano']",['Action']
Gone,2012,"['Amanda Seyfried', 'Jennifer Carpenter', 'Sebastian Stan', 'Wes Bentley', 'Michael Paré']",['Thriller']
Good Deeds,2012,"['Tyler Perry', 'Thandie Newton', 'Rebecca Romijn', 'Brian J. White', 'Jamie Kennedy', 'Eddie Cibrian', 'Jordenn Thompson', 'Beverly Johnson', 'Phylicia Rashad', 'Gabrielle Union']","['Drama', 'Romance']"
Wanderlust,2012,"['Paul Rudd', 'Jennifer Aniston', 'Malin Åkerman', 'Justin Theroux', 'Ken Marino', 'Lauren Ambrose', 'Joe Lo Truglio', 'Kerri Kenney-Silver', 'Kathryn Hahn', 'Alan Alda']",['Comedy']
This Is Not a Film,2012,[],['Documentary']
Dr. Seuss' The Lorax,2012,"['Danny DeVito', 'Zac Efron', 'Taylor Swift', 'Ed Helms', 'Rob Riggle', 'Betty White', 'Jenny Slate', 'Nasim Pedrad', 'Stephen Tobolowsky', 'Elmarie Wendel', 'Danny Cooksey', 'Chris Renaud', 'Joel Swetow', 'Michael Beattie', 'Dave Mitchell', 'Jack Angel', 'Bob Bergen', 'John Cygan', 'Debi Derryberry', 'Bill Farmer', 'Jess Harnell', 'Sherry Lynn', 'Danny Mann', 'Mona Marshall', 'Laraine Newman', 'Jan Rabson', 'Jim Ward', 'Dan Navarro', 'Mickie McGowan', 'Dempsey Pappion', 'Claira Nicole Titman', 'Monique Donnelly', 'Edie Lehmann Boddicker', 'Fletcher Sheridan']","['Animated', 'Comedy', 'Fantasy', 'Musical']"
Project X,2012,"['Miles Teller', 'Oliver Cooper', 'Jonathan Daniel Brown', 'Kirby Bliss Blanton', 'Thomas Mann', 'Alexis Knapp']","['Comedy', 'Found Footage', 'Teen']"
Being Flynn,2012,"['Robert De Niro', 'Paul Dano', 'Olivia Thirlby', 'Lili Taylor', 'Wes Studi', 'Julianne Moore']",['Drama']
Tim and Eric's Billion Dollar Movie,2012,"['Tim Heidecker', 'Eric Wareheim', 'Will Ferrell', 'Zach Galifianakis', 'John C. Reilly', 'Robert Loggia', 'Jeff Goldblum', 'Will Forte', 'William Atherton', 'Erica Durance']",['Comedy']
John Carter,2012,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Mark Strong', 'Ciarán Hinds', 'Dominic West', 'James Purefoy', 'Willem Dafoe']","['Action', 'Adventure', 'Science Fiction']"
Silent House,2012,"['Elizabeth Olsen', 'Adam Trese', 'Eric Sheffer Stevens', 'Julia Taylor Ross', 'Haley Murphy', 'Adam Barnett']","['Horror', 'Independent']"
A Thousand Words,2012,"['Eddie Murphy', 'Kerry Washington', 'Cliff Curtis', 'Clark Duke', 'Allison Janney', 'Ruby Dee', 'John Witherspoon', 'Emanuel Ragsdale', 'Justina Machado', 'Steve Little', 'Jack McBrayer', 'Kayla Blake', 'Lennie Loftin', 'Alain Chabat', 'Ted Kennedy']","['Comedy', 'Drama']"
Attenberg,2012,"['Ariane Labed', 'Giorgos Lanthimos', 'Vangelis Mourikis']",['Drama']
The Ballad of Genesis and Lady Jaye,2012,[],[]
Footnote,2012,"['Shlomo Bar Aba', 'Lior Ashkenazi', 'Alisa Rosen', 'Alma Zack', 'Daniel Markovich', 'Micah Lewesohn', 'Yuval Scharf', 'Nevo Kimchi']",['Drama']
Friends with Kids,2012,"['Adam Scott', 'Jennifer Westfeldt', 'Jon Hamm', 'Kristen Wiig', 'Maya Rudolph', ""Chris O'Dowd"", 'Megan Fox', 'Edward Burns']","['Comedy', 'Romance']"
Jiro Dreams of Sushi,2012,[],['Documentary']
Salmon Fishing in the Yemen,2012,"['Ewan McGregor', 'Emily Blunt', 'Kristin Scott Thomas', 'Amr Waked']","['Comedy', 'Drama', 'Romance']"
Game Change,2012,"['Julianne Moore', 'Woody Harrelson', 'Ed Harris', 'Peter MacNicol', 'Jamey Sheridan', 'Sarah Paulson', 'Ron Livingston', 'David Barry Gray', 'Larry Sullivan', 'Melissa Farman', 'Kevin Bigley', ""Brian d'Arcy James"", 'Bruce Altman', 'Colby French', 'John Rothman', 'Sandy Bainum', 'Tiffany Thornton', 'Alex Hyde-White', 'Justin Gaston', 'Austin Pendleton', 'Spencer Garrett', 'Brian Howe', 'Ron Perkins', 'Brittany Underwood', 'Jenna Stern', 'Sidney Blackmer', 'Rain Pryor', 'Ashlie Atkinson', 'Mark Halperin', 'John Heilemann', 'Barack Obama', 'Joe Biden', 'Anderson Cooper', 'Katie Couric', 'Wolf Blitzer', 'Candy Crowley', 'Charles Gibson', 'John King', 'Sean Hannity', 'Pat Buchanan', 'Jack Cafferty', 'Susan Collins', 'John Edwards', 'Tina Fey', 'Amy Poehler', 'Newt Gingrich', 'Paris Hilton', 'Kay Bailey Hutchison', 'Linda Lingle', 'Rachel Maddow', ""Lawrence O'Donnell"", 'Keith Olbermann', 'Britney Spears', 'Brian Williams', 'Fareed Zakaria']","['Drama', 'Political']"
Gerhard Richter Painting [de],2012,"['Gerhard Richter', 'Norbert Arns', 'Hubert Becker']",[]
21 Jump Street,2012,"['Jonah Hill', 'Channing Tatum', 'Ice Cube', 'Brie Larson', 'Rob Riggle', 'DeRay Davis', 'Dave Franco', 'Jake Johnson', 'Johnny Simmons', 'Johnny Pemberton', 'Dakota Johnson', 'Ellie Kemper', 'Johnny Depp']","['Action', 'Comedy']"
Casa de Mi Padre,2012,"['Will Ferrell', 'Gael García Bernal', 'Diego Luna', 'Nick Offerman', 'Génesis Rodríguez', 'Efren Ramirez', 'Adrian Martinez', 'Pedro Armendáriz Jr.']","['Comedy', 'Western']"
"Jeff, Who Lives at Home",2012,"['Jason Segel', 'Ed Helms', 'Judy Greer', 'Susan Sarandon', 'Evan Ross']","['Comedy', 'Drama']"
The Hunger Games,2012,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Wes Bentley', 'Elizabeth Banks', 'Amandla Stenberg', 'Stanley Tucci', 'Woody Harrelson', 'Lenny Kravitz', 'Toby Jones', 'Donald Sutherland', 'Alexander Ludwig', 'Isabelle Fuhrman']",['Action']
The Raid: Redemption,2012,"['Iko Uwais', 'Doni Alamsyah', 'Joe Taslim', 'Yayan Ruhian', 'Ray Sahetapy']","['Action', 'Thriller']"
A Royal Affair,2012,"['Alicia Vikander', 'Mads Mikkelsen']",['Drama']
Mirror Mirror,2012,"['Lily Collins', 'Julia Roberts', 'Armie Hammer', 'Nathan Lane', 'Robert Emms', 'Mare Winningham', 'Michael Lerner', 'Mark Povinelli', 'Jordan Prentice', 'Danny Woodburn', 'Sebastian Saraceno', 'Ronald Lee Clark', 'Martin Klebba', 'Joey Gnoffo', 'Sean Bean']","['Comedy', 'Fantasy']"
Wrath of the Titans,2012,"['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes', 'Édgar Ramírez', 'Rosamund Pike', 'Danny Huston', 'Bill Nighy', 'Toby Kebbell', 'Lily James']","['Action', 'Fantasy']"
Goon,2012,"['Seann William Scott', 'Jay Baruchel', 'Liev Schreiber', 'Alison Pill', 'Marc-André Grondin']","['Comedy', 'Sports']"
Titanic 3D,2012,"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates', 'Francis Fisher', 'Gloria Stuart', 'Bill Paxton', 'Bernard Hill', 'David Warner', 'Victor Garber', 'Jonathan Hyde', 'Eric Braeden', 'Bernard Fox', 'Suzy Amis', 'Danny Nucci', 'Lewis Abernathy', 'Nicholas Cascone']","['Disaster', 'Romance']"
American Reunion,2012,"['Jason Biggs', 'Alyson Hannigan', 'Chris Klein', 'Thomas Ian Nicholas', 'Tara Reid', 'Seann William Scott', 'Mena Suvari', 'Eddie Kaye Thomas', 'Natasha Lyonne', 'Shannon Elizabeth', 'Eugene Levy', 'Jennifer Coolidge', 'John Cho', 'Dania Ramirez', 'Katrina Bowden', 'Jay Harrington', 'Ali Cobrin', 'Chuck Hittinger', 'Chris Owen', 'Justin Isfeld', 'Charlene Amoia', 'Neil Patrick Harris', 'Molly Cheek', 'Rebecca De Mornay']","['Comedy', 'Erotic']"
Comic-Con Episode IV: A Fan's Hope,2012,"['Skip Harvey', 'Eric Henson', 'Chuck Rozanski', 'James Darling', 'Se Young Kang']",['Documentary']
Damsels in Distress,2012,"['Greta Gerwig', 'Adam Brody', 'Analeigh Tipton', 'Megalyn Echikunwoke', 'Carrie MacLemore', 'Hugo Becker', 'Billy Magnussen', 'Ryan Metcalf', 'Jermaine Crawford', 'Aubrey Plaza']","['Comedy', 'Drama']"
Keyhole,2012,"['Isabella Rossellini', 'Jason Patric', 'Kevin McDonald', 'Udo Kier', 'Brooke Palsson']",[]
Surviving Progress,2012,[],[]
We Have a Pope,2012,"['Michel Piccoli', 'Jerzy Stuhr', 'Renato Scarpa']","['Comedy', 'Drama']"
The Cabin in the Woods,2012,"['Richard Jenkins', 'Bradley Whitford', 'Jesse Williams', 'Chris Hemsworth', 'Kristen Connolly', 'Anna Hutchison', 'Fran Kranz', 'Brian J. White', 'Amy Acker', 'Tim DeZarn', 'Tom Lenk', 'Dan Payne', 'Jodelle Ferland', 'Dan Shea', 'Rukiya Bernard', 'Peter Kelamis', 'Adrian Holmes', 'Chelah Horsdal', 'Terry Chen', 'Heather Doerksen', 'Patrick Sabongui', 'Ellie Harvie', 'Sigourney Weaver', 'Terry Notary']","['Comedy', 'Horror', 'Science Fiction']"
Detention,2012,"['Josh Hutcherson', 'Shanley Caswell', 'Spencer Locke', 'Dane Cook']","['Comedy', 'Slasher']"
Lockout,2012,"['Guy Pearce', 'Maggie Grace', 'Peter Stormare', 'Lennie James', 'Vincent Regan', 'Tim Plester', 'Anne-Solenne Hatte', 'Yan Dron', 'Patrick Cauderlier', 'Milorad Kapor', 'Bojan Peric', 'Mark Tankersley']","['Action', 'Science Fiction']"
The Three Stooges,2012,"['Chris Diamantopoulos', 'Sean Hayes', 'Will Sasso', 'Jane Lynch', 'Larry David', 'Stephen Collins', 'Sofía Vergara', 'Jennifer Hudson']","['Comedy', 'Short']"
Monsieur Lazhar,2012,"['Mohamed Fellag', 'Sophie Nélisse', 'Emilien Neron', 'Danielle Proulx', 'Brigitte Poupart']",['Drama']
Chimpanzee,2012,"['Tim Allen', '(narrator)']",['Documentary']
The Lucky One,2012,"['Zac Efron', 'Taylor Schilling', 'Jay R. Ferguson', 'Riley Thomas Stewart', 'Adam LeFevre', 'Blythe Danner']","['Drama', 'Romance']"
Think Like a Man,2012,"['Kevin Hart', 'Michael Ealy', 'Taraji P. Henson', 'Jerry Ferrara', 'Meagan Good', 'Regina Hall', 'Terrence J', 'Jenifer Lewis', 'Romany Malco', 'Gary Owen', 'Gabrielle Union', 'Steve Harvey', 'Wendy Williams', 'Chris Brown', 'Keri Hilson', 'La La Anthony', 'Morris Chestnut', 'Arielle Kebbel', 'Kelly Rowland', 'Sherri Shepherd', 'Tika Sumpter', 'Tony Rock', 'Luenell', 'Jessica Camacho', 'Matt Colton', 'J. Anthony Brown', 'Matt Barnes', 'Shannon Brown', 'Rasual Butler', 'Darren Collison', 'Lisa Leslie', 'Metta World Peace']","['Comedy', 'Romance']"
Darling Companion,2012,"['Kevin Kline', 'Diane Keaton', 'Richard Jenkins', 'Elisabeth Moss', 'Mark Duplass', 'Dianne Wiest', 'Sam Shepard']","['Comedy', 'Drama']"
Fightville,2012,[],[]
Jesus Henry Christ,2012,"['Toni Collette', 'Michael Sheen', 'Jason Spevack', 'Samantha Weinstein']","['Comedy', 'Short']"
Marley,2012,['Bob Marley'],"['Documentary', 'Biography']"
Payback,2012,[],['Documentary']
The Five-Year Engagement,2012,"['Jason Segel', 'Emily Blunt', 'Chris Pratt', 'Alison Brie', 'Rhys Ifans']","['Comedy', 'Romance']"
The Pirates! In an Adventure with Scientists!,2012,"['Hugh Grant', 'Salma Hayek', 'Jeremy Piven', 'Imelda Staunton', 'David Tennant', 'Martin Freeman', 'Lenny Henry', 'Brendan Gleeson']","['Animated', 'Comedy']"
The Raven,2012,"['John Cusack', 'Alice Eve', 'Luke Evans', 'Brendan Gleeson', 'Oliver Jackson-Cohen']","['Crime', 'Thriller']"
Safe,2012,"['Jason Statham', 'Catherine Chan', 'Chris Sarandon', 'Anson Mount', 'Robert John Burke']","['Action', 'Thriller']"
Headhunters,2012,"['Aksel Hennie', 'Synnøve Macody Lund', 'Nikolaj Coster-Waldau']","['Action', 'Thriller']"
Sound of My Voice,2012,"['Brit Marling', 'Christopher Denham', 'Nicole Vicius', 'Avery Pohl']",['Thriller']
The Avengers,2012,"['Robert Downey Jr.', 'Chris Evans', 'Chris Hemsworth', 'Mark Ruffalo', 'Jeremy Renner', 'Scarlett Johansson', 'Tom Hiddleston', 'Samuel L. Jackson', 'Stellan Skarsgård', 'Cobie Smulders', 'Clark Gregg', 'Gwyneth Paltrow', 'Maximiliano Hernández', 'Paul Bettany', 'Alexis Denisof', 'Damion Poitier', 'Powers Boothe', 'Jenny Agutter', 'Stan Lee', 'Harry Dean Stanton', 'Jerzy Skolimowski', 'Warren Kole', 'Enver Gjokaj']",['Superhero']
The Best Exotic Marigold Hotel,2012,"['Judi Dench', 'Bill Nighy', 'Dev Patel', 'Tom Wilkinson', 'Maggie Smith', 'Penelope Wilton', 'Ronald Pickup', 'Celia Imrie']","['Comedy', 'Drama']"
First Position,2012,[],['Documentary']
Dark Shadows,2012,"['Johnny Depp', 'Michelle Pfeiffer', 'Helena Bonham Carter', 'Eva Green', 'Jackie Earle Haley', 'Bella Heathcote', 'Chloë Grace Moretz', 'Jonny Lee Miller', 'Gulliver McGrath', 'Christopher Lee', 'Alice Cooper', 'William Hope', 'Ivan Kaye', 'Raffey Cassidy', 'Ray Shirley', 'Susanna Cappellaro', 'Guy Flanagan', 'Sophie Kennedy Clark', 'Hannah Murray', 'Shane Rimmer', 'Jonathan Frid', 'Lara Parker', 'David Selby', 'Kathryn Leigh Scott']",['Fantasy']
Where Do We Go Now?,2012,"['Nadine Labaki', 'Leyla Fouad', 'Claude Msawbaa', 'Antoinette El-Noufaily']",[]
The Dictator,2012,"['Sacha Baron Cohen', 'Ben Kingsley', 'Anna Faris', 'Megan Fox', 'John C. Reilly', 'J.B. Smoove', 'Jason Mantzoukas', 'Bobby Lee', 'Sayed Badreya', 'Adeel Akhtar', 'Fred Armisen', 'Edward Norton', 'Adam LeFevre', 'Busty Heart', 'Chris Elliott', 'Garry Shandling', 'Chris Parnell', 'Aasif Mandvi', 'Rizwan Manji', 'Horatio Sanz', 'Fred Melamed', 'Joey Slotnick', 'Jessica St. Clair', 'Kathryn Hahn', 'Anna Katarina', 'Kevin Corrigan', 'Sondra James', 'Jon Glaser', 'Nasim Pedrad']","['Comedy', 'Political', 'Satire']"
Rust and Bone,2012,"['Marion Cotillard', 'Matthias Schoenaerts']","['Drama', 'Romance']"
Battleship,2012,"['Alexander Skarsgård', 'Taylor Kitsch', 'Brooklyn Decker', 'Rihanna', 'Liam Neeson', 'Asano Tadanobu', 'Peter MacNicol', 'Hamish Linklater', 'Jesse Plemons', 'Jerry Ferrara', 'Robin Atkin Downes']","['Action', 'Science Fiction', 'War']"
What to Expect When You're Expecting,2012,"['Cameron Diaz', 'Jennifer Lopez', 'Brooklyn Decker', 'Elizabeth Banks', 'Anna Kendrick', 'Chace Crawford', 'Matthew Morrison', 'Dennis Quaid', 'Chris Rock', 'Rodrigo Santoro', 'Ben Falcone', 'Joe Manganiello', 'Thomas Lennon']","['Comedy', 'Romance']"
Beyond the Black Rainbow,2012,"['Michael Rogers', 'Eva Allen', 'Scott Hylands', 'Marilyn Norry', 'Rondel Reynoldson']","['Horror', 'Science Fiction']"
Crooked Arrows,2012,"['Brandon Routh', 'Gil Birmingham']","['Drama', 'Sports']"
Entrance,2012,['Suziey Block'],"['Horror', 'Independent', 'Thriller']"
Fury,2012,"['Samuel L. Jackson', 'Luke Kirby', 'Ruth Negga', 'Tom Wilkinson']","['Crime', 'Drama']"
Hysteria,2012,"['Maggie Gyllenhaal', 'Hugh Dancy', 'Felicity Jones']","['Comedy', 'Biography', 'Historical', 'Romance']"
Lovely Molly,2012,"['Gretchen Lodge', 'Johnny Lewis', 'Alexandra Holden', 'Lauren Lakis']","['Horror', 'Supernatural']"
Mansome,2012,"['Will Arnett', 'Jason Bateman', 'Adam Carolla', 'Paul Rudd', 'Zach Galifianakis']",['Documentary']
Polisse,2012,"['Karin Viard', 'Marina Foïs', 'Joeystarr']","['Crime', 'Drama']"
Virginia,2012,"['Jennifer Connelly', 'Ed Harris', 'Emma Roberts', 'Amy Madigan', 'Harrison Gilbertson']",[]
Chernobyl Diaries,2012,"['Jonathan Sadowski', 'Devin Kelley', 'Jesse McCartney', 'Olivia Taylor Dudley', 'Nathan Phillips', 'Ingrid Bolsø Berdal', 'Dmitri Diatchenko']","['Disaster', 'Horror']"
Men in Black 3,2012,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin', 'Jemaine Clement', 'Emma Thompson', 'Alice Eve', 'Michael Stuhlbarg', 'Nicole Scherzinger', 'David Rasche', 'Mike Colter', 'Michael Chernus', 'Keone Young', 'Bill Hader', 'Lenny Venito', 'David Pittu', 'Lanny Flaherty', 'Barry Sonnenfeld', 'Justin Bieber', 'Lady Gaga', 'Yao Ming', 'Tim Burton', 'Rick Baker', 'Will Arnett', 'Kevin Covais', 'Bill Gates', 'Jada Pinkett Smith', 'Tony Shalhoub', 'Howard Stern', 'Rip Torn', 'Bo Welch', 'Steve Witting', 'Tim Blaney', 'Brad Abrell', 'Thom Fountain', 'Carl J. Johnson']","['Action', 'Comedy', 'Science Fiction']"
Moonrise Kingdom,2012,"['Jared Gilman', 'Kara Hayward', 'Bruce Willis', 'Edward Norton', 'Bill Murray', 'Frances McDormand', 'Jason Schwartzman', 'Tilda Swinton']","['Comedy', 'Drama']"
Hemingway & Gellhorn,2012,"['Nicole Kidman', 'Clive Owen', 'David Strathairn', 'Molly Parker', 'Parker Posey', 'Rodrigo Santoro', 'Mark Pellegrino', 'Peter Coyote', 'Lars Ulrich', 'Robert Duvall', 'Tony Shalhoub', 'Jeffrey Jones', 'Santiago Cabrera', 'Diane Baker', 'Steven Wiig', 'Keone Young', 'Joan Chen', 'Ivonne Coll', 'Saverio Guerra', 'Remy Auberjonois', 'Anthony Brandon Wong', 'Geoff Callan', 'Bubba Lewis', 'Brooke Adams', 'Monica Barbaro', 'Hélène Cardona', 'Connie Nielsen', 'Leonard Apeltsin', 'Aitor Inarra', 'Malcolm Brownson']",[]
5 Broken Cameras,2012,[],['Documentary']
Snow White and the Huntsman,2012,"['Charlize Theron', 'Kristen Stewart', 'Chris Hemsworth', 'Sam Spruell', 'Ian McShane', 'Bob Hoskins', 'Ray Winstone', 'Eddie Marsan', 'Sam Claflin', 'Nick Frost', 'Toby Jones', 'Brian Gleeson', 'Vincent Regan', 'Raffey Cassidy']",['Fantasy']
Piranha 3DD,2012,"['Danielle Panabaker', 'Matt Bush', 'Chris Zylka', 'David Koechner', 'Meagan Tandy', 'Paul James Jordan', 'Jean-Luc Bilodeau', 'Héctor Jiménez', 'Adrian Martinez', 'Clu Gulager', 'Gary Busey', 'Katrina Bowden', 'Christopher Lloyd', 'Ving Rhames', 'Paul Scheer', 'David Hasselhoff']","['Comedy', 'Horror']"
Madagascar 3: Europe's Most Wanted,2012,"['Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith', 'Sacha Baron Cohen', 'Cedric the Entertainer', 'Andy Richter', 'Tom McGrath', 'Frances McDormand', 'Jessica Chastain', 'Martin Short', 'Bryan Cranston', 'Chris Miller', 'Christopher Knights', 'John DiMaggio', 'Frank Welker', 'Paz Vega', 'Conrad Vernon', 'Vinnie Jones', 'Steve Jones', 'Nick Fletcher', 'Eric Darnell', ""Dan O'Connor"", 'Danny Jacobs']","['Animated', 'Comedy']"
Prometheus,2012,"['Noomi Rapace', 'Michael Fassbender', 'Charlize Theron', 'Idris Elba', 'Guy Pearce', 'Logan Marshall-Green', 'Sean Harris', 'Rafe Spall']","['Horror', 'Science Fiction']"
Lola Versus,2012,"['Greta Gerwig', 'Joel Kinnaman', 'Zoe Lister-Jones', 'Hamish Linklater', 'Bill Pullman', 'Ebon Moss-Bachrach', 'Jay Pharoah', 'Debra Winger']","['Comedy', 'Romance']"
Safety Not Guaranteed,2012,"['Aubrey Plaza', 'Mark Duplass', 'Jake Johnson', 'Kristen Bell', 'Jenica Bergere', 'Jeff Garlin', 'Karan Soni', 'Lynn Shelton', 'Mary Lynn Rajskub']",['Comedy']
Rock of Ages,2012,"['Julianne Hough', 'Diego Boneta', 'Tom Cruise', 'Alec Baldwin', 'Russell Brand', 'Paul Giamatti', 'Catherine Zeta-Jones', 'Malin Åkerman', 'Mary J. Blige', 'Bryan Cranston']","['Comedy', 'Musical']"
That's My Boy,2012,"['Adam Sandler', 'Andy Samberg', 'Leighton Meester', 'Vanilla Ice', 'Tony Orlando', 'Will Forte', 'Milo Ventimiglia', 'Susan Sarandon', 'James Caan']",['Comedy']
The Woman in the Fifth,2012,"['Ethan Hawke', 'Kristin Scott Thomas', 'Joanna Kulig', 'Samir Guesmi']",['Drama']
Your Sister's Sister,2012,"['Emily Blunt', 'Rosemarie DeWitt', 'Mark Duplass']","['Comedy', 'Drama']"
Kumaré,2012,['Vikram Gandhi'],['Documentary']
Abraham Lincoln: Vampire Hunter,2012,"['Benjamin Walker', 'Dominic Cooper', 'Anthony Mackie', 'Mary Elizabeth Winstead', 'Rufus Sewell', 'Marton Csokas']","['Action', 'Horror']"
Brave,2012,"['Kelly Macdonald', 'Julie Walters', 'Billy Connolly', 'Emma Thompson', 'Kevin McKidd', 'Craig Ferguson', 'Robbie Coltrane']","['Animated', 'Fantasy']"
Seeking a Friend for the End of the World,2012,"['Steve Carell', 'Keira Knightley', 'Connie Britton', 'Adam Brody', 'Derek Luke', 'Melanie Lynskey']","['Comedy', 'Drama', 'Romance']"
The Invisible War,2012,[],['Documentary']
To Rome with Love,2012,"['Alec Baldwin', 'Roberto Benigni', 'Penélope Cruz', 'Jesse Eisenberg', 'Greta Gerwig', 'Elliot Page']","['Comedy', 'Romance']"
Beasts of the Southern Wild,2012,"['Quvenzhané Wallis', 'Dwight Henry']","['Drama', 'Fantasy']"
Madea's Witness Protection,2012,"['Tyler Perry', 'Eugene Levy', 'Doris Roberts', 'Tom Arnold', 'Denise Richards', 'Danielle Campbell', 'Romeo', 'John Amos', 'Marla Gibbs']",['Comedy']
Magic Mike,2012,"['Channing Tatum', 'Alex Pettyfer', 'Matthew McConaughey', 'Matt Bomer', 'Riley Keough', 'Cody Horn', 'Joe Manganiello', 'Olivia Munn', 'Adam Rodriguez', 'Kevin Nash', 'Gabriel Iglesias', 'Mircea Monroe', 'Camryn Grimes', 'Wendi McLendon-Covey', 'Martin Villeneuve', 'Michael Roark', 'Betsy Brandt']","['Comedy', 'Drama']"
People Like Us,2012,"['Chris Pine', 'Elizabeth Banks', 'Michelle Pfeiffer', 'Olivia Wilde', 'Mark Duplass', 'Jon Favreau', ""Michael Hall D'Addario"", 'Philip Baker Hall']",['Drama']
Ted,2012,"['Mark Wahlberg', 'Mila Kunis', 'Seth MacFarlane', 'Giovanni Ribisi', 'Joel McHale', 'Patrick Warburton', 'Jessica Stroup', 'Laura Vandervoort', 'Aedin Mincks', 'Matt Walsh', 'Jessica Barth', 'Bill Smitrovich', 'Alex Borstein', 'Ralph Garman', 'Sam J. Jones', 'Ryan Reynolds', 'Norah Jones', 'Tom Skerritt', 'Mike Henry', 'Robert Wu', 'Ted Danson', 'Patrick Stewart', 'Tara Strong']",['Comedy']
A Burning Hot Summer,2012,"['Monica Bellucci', 'Louis Garrel', 'Céline Sallette', 'Jérôme Robart']",['Drama']
Last Ride,2012,"['Hugo Weaving', 'Tom Russell']",['Drama']
Neil Young Journeys,2012,['Neil Young'],[]
Take This Waltz,2012,"['Seth Rogen', 'Michelle Williams', 'Sarah Silverman', 'Luke Kirby', 'Aaron Abrams', 'Jennifer Podemiski', 'Vanessa Coelho']","['Comedy', 'Drama', 'Romance']"
Unforgivable,2012,"['André Dussollier', 'Carole Bouquet', 'Adriana Asti']",['Drama']
The Amazing Spider-Man,2012,"['Andrew Garfield', 'Emma Stone', 'Max Charles', 'Martin Sheen', 'Sally Field', 'Campbell Scott', 'Rhys Ifans', 'Chris Zylka', 'Denis Leary', 'Irrfan Khan', 'Embeth Davidtz', 'Hannah Marks', 'Kelsey Chow', 'C. Thomas Howell', 'Stan Lee', 'Michael Massee', 'Michael Papajohn', 'Skyler Gisondo', 'Kari Coleman', 'Leif Gantvoort', 'Michael Barra', 'Tom Waite', 'Charlie DePew', 'Jacob Rodier']",['Superhero']
Katy Perry: Part of Me 3D,2012,['Katy Perry'],"['Documentary', 'Biography', 'Performance']"
Savages,2012,"['Taylor Kitsch', 'Blake Lively', 'Aaron Johnson', 'John Travolta', 'Benicio del Toro', 'Salma Hayek', 'Emile Hirsch', 'Demián Bichir']","['Action', 'Thriller']"
Collaborator,2012,"['Martin Donovan', 'David Morse', 'Olivia Williams', 'Katherine Helmond']",['Drama']
Ice Age: Continental Drift,2012,"['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Nicki Minaj', 'Drake', 'Jennifer Lopez', 'Queen Latifah', 'Seann William Scott', 'Josh Peck', 'Chris Wedge', 'Peter Dinklage', 'Wanda Sykes', 'Josh Gad', 'Keke Palmer', 'Nick Frost', 'Aziz Ansari', 'Ben Gleib', 'Alan Tudyk', 'Ester Dean', 'Kunal Nayyar', 'Rebel Wilson', 'Eddie ""Piolín"" Sotelo', 'Joy Behar', 'Alain Chabat', 'Heather Morris', 'Karen Disher', 'Patrick Stewart', 'Edita Brychta', 'Aimée Castle', 'Jim Conroy', 'Daniel Flaherty', 'Marieve Herington', 'Jason Harris', 'Selenis Leyva', 'Bill Lobley', 'Chris Phillips', 'Tara Sands', 'Keith Silverstein', 'Randall Thom', 'Corwin Tuggles', 'Tashiana Washington']","['Adventure', 'Animated', 'Comedy']"
"Farewell, My Queen",2012,"['Léa Seydoux', 'Diane Kruger', 'Virginie Ledoyen']",['Drama']
The Imposter,2012,['Frédéric Bourdin'],['Documentary']
Union Square,2012,"['Mira Sorvino', 'Tammy Blanchard', 'Patti LuPone', 'Mike Doyle']",[]
Shut Up and Play the Hits,2012,"['James Murphy', 'Nancy Whang', 'Pat Mahoney', 'Gunnar Bjerk', 'Chuck Klosterman', 'Gavin Russom', 'Keith Wood', 'Al Doyle']",['Documentary']
